"id","created_at","created_by","updated_at","updated_by","org_id","name","description","amount","options_value","owner_id","base_amount","previous_id","archived","deleted","change_ends_on","change_starts_on","free_months","status","info","start_date","expires_at","proposal_number","term_type","custom_terms","accepted_at","customer_id","source","proposal_type","purchase_order_number","display_status","system_generated"
"2aedca75-65e5-4dbe-98e0-ba8c2d4c75c1","2024-03-02 13:09:47.138201+05:30","bob@cacheflow.com","2024-03-02 13:10:30.129123+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","TestCustomer [Change]",NULL,"100","Aw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","100","20123663-81a1-4045-8606-a84f801d7a81",False,True,"2025-02-28",NULL,NULL,"draft",NULL,NULL,"2024-04-02","11","month",NULL,NULL,"f0e4a58c-5712-4ef0-b25c-5c313d99aee4",NULL,"change",NULL,"deleted",False
"4021b1d7-2895-4185-b0e5-019e235e806a","2024-03-01 22:29:49.30117+05:30","bob@cacheflow.com","2024-03-01 22:33:29.914691+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","TestCustomer",NULL,"100","Aw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","100",NULL,False,True,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","4","month",NULL,NULL,"f0e4a58c-5712-4ef0-b25c-5c313d99aee4",NULL,"initial",NULL,"deleted",False
"f70e947e-7f06-4e2a-8f27-1bdf70d40802","2024-03-01 22:35:54.517031+05:30","bob@cacheflow.com","2024-03-01 22:36:32.144892+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","TestCustomer",NULL,"100","Aw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","100",NULL,False,True,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","5","month",NULL,NULL,"f0e4a58c-5712-4ef0-b25c-5c313d99aee4",NULL,"initial",NULL,"deleted",False
"e89dd91d-3d10-4f68-9385-c325ea717ae4","2024-03-01 22:46:53.337953+05:30","bob@cacheflow.com","2024-03-01 22:46:53.35408+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","Untitled",NULL,"100","Aw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","100",NULL,False,False,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","8","month",NULL,NULL,NULL,NULL,"template",NULL,"draft",False
"5982ee87-8a0c-4166-a80a-9eee0ac0190f","2024-03-02 13:32:34.592512+05:30","bob@cacheflow.com","2024-03-02 13:34:50.885517+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","Untitled",NULL,"0","Aw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","0",NULL,False,True,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","13","month",NULL,NULL,NULL,NULL,"initial",NULL,"deleted",False
"ffbfb275-9cd4-4d5b-8bb5-26de4bab4527","2024-03-01 22:36:48.131403+05:30","bob@cacheflow.com","2024-03-02 13:10:18.32998+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","TestCustomer",NULL,"100","Sw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","100",NULL,False,True,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","6","month",NULL,NULL,"f0e4a58c-5712-4ef0-b25c-5c313d99aee4",NULL,"initial",NULL,"deleted",False
"bf62ff40-4b68-4cbc-8efe-0a8f57e1057c","2024-03-01 22:42:48.467284+05:30","bob@cacheflow.com","2024-03-02 13:10:23.012933+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","TestCustomer",NULL,"100","Qw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","100",NULL,False,True,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","7","month",NULL,NULL,"f0e4a58c-5712-4ef0-b25c-5c313d99aee4",NULL,"initial",NULL,"deleted",False
"72f95352-8106-4e06-96c5-b3ef0014fe3f","2024-03-02 13:35:42.687132+05:30","bob@cacheflow.com","2024-03-02 13:47:30.738049+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","Untitled",NULL,"0","Aw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","0",NULL,False,True,NULL,NULL,NULL,"draft",NULL,NULL,"2024-04-01","14","month",NULL,NULL,NULL,NULL,"initial",NULL,"deleted",False
"2d044191-597d-42aa-8bc0-c97f30eb2d88","2024-03-02 14:53:35.443434+05:30","bob@cacheflow.com","2024-03-02 14:53:54.421409+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","sate [Change]",NULL,"3600","Sw==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","3600","d53fe179-5e74-49c1-8778-05a743d2d596",False,True,"2027-03-01",NULL,NULL,"draft",NULL,NULL,"2024-04-02","20","quarter",NULL,NULL,"c8403a55-1f46-4f6a-ada8-9d90fe51d4fd",NULL,"change",NULL,"deleted",False
"93b0e76c-311e-42e5-a2d7-65be06e0db99","2024-03-02 14:46:58.204396+05:30","bob@cacheflow.com","2024-03-02 14:47:58.911973+05:30","bob@cacheflow.com","62ccc55f-76f2-4d3d-84d4-edfa71ecc44e","sate [Renewal]",NULL,"3600","SQ==","3c0a098d-8436-460f-b6a2-40910c2e4fd1","3600","d53fe179-5e74-49c1-8778-05a743d2d596",False,True,NULL,NULL,NULL,"draft",NULL,"2027-03-02","2024-04-02","18","quarter",NULL,NULL,"c8403a55-1f46-4f6a-ada8-9d90fe51d4fd",NULL,"renewal",NULL,"deleted",False
